en,my
Mr Tanaka will arrive at the station at about,မစ္စတာတာနာခါ ဆယ်နာရီဝန်းကျင်လောက် ဘူတာကို ရောက်မယ်။
I called home but no one was home,အိမ်ကို ဖုန်းဆက်ပေမဲ့ ဘယ်သူမှ မရှိဘူး။
Everyone is a student at this university,အားလုံး ဒီတက္ကသိုလ်ကကျောင်းသားတွေပါ။
There is going to be a Japanese test on the twentieth of this month,ဒီလ နှစ်ဆယ်ရက်နေ့မှာ ဂျပန်စာစာမေးပွဲ ရှိတယ်။
I cut my hair yesterday,ကျွန်တော် မနေ့က ဆံပင်ညှပ်ခဲ့တယ်။
Does your head hurt,ခေါင်းကိုက်လား။
I always bring three pencils to school,ကျောင်းကို အမြဲတမ်း ခဲတံ သုံးချောင်း ယူသွားတယ်။
The hospital is across the station,ဆေးရုံက ဘူတာရဲ့ အခြားတစ်ဖက်မှာ။
I put notebooks and pens inside the box,ပုံးထဲကို မှတ်စုစာအုပ်နဲ့ ဘောပင် ထည့်မယ်။
Whose class is the most interesting,ဘယ်ဆရာရဲ့ အတန်းက စိတ်ဝင်စားဖို့ အကောင်းဆုံးလဲ။
There is nothing in the refrigerator,ရေခဲသေတ္တာထဲမှာ ဘာမှ မရှိဘူး။
I will meet Ms Kimura at the station this evening,ဒီည ဘူတာမှာ မစ္စတာခိမုရနဲ့ တွေ့မယ်။
B Im sorry Tomorrow is a little,ဆောရီးပဲ။ နက်ဖန်ခါတော့ သိပ် အဆင်မပြေဘူး။
I sent baggage to my mother yesterday,မနေ့က အမေ့ဆီ ပစ္စည်း ပို့လိုက်တယ်။
I will go home after I do a little bit more work,နောက်ထပ် အလုပ်လေး နည်းနည်း လုပ်ပြီး ပြန်မယ်။
I forgot my umbrella in the train yesterday,မနေ့က ရထားပေါ်မှာ ထီးမေ့ကျန်ခဲ့တယ်။
Mr Kobayashi has work tomorrow so he cannot come,မနက်ဖန် မစ္စတာခိုဘာယာရှိ အလုပ်ရှိလို့ မလာနိုင်ဘူး။
I ride the taxi from the station to work,ဘူတာကနေ ကုမ္ပဏီကို တက္ကစီ စီးသွားတယ်။
Mr Lee and I are in the same group,ကျွန်တော်နဲ့ မစ္စတာလီနဲ့က အဖွဲ့ အတူတူပဲ။
Yesterday I went shopping near the station,မနေ့က ဘူတာနားကို ဈေးဝယ် သွားတယ်။
I do not want to wear a suit because it is hot in the summer,နွေရာသီဆို ပူလို့ အနောက်တိုင်းဝတ်စုံ မဝတ်ချင်ဘူး။
There are four cars parked in front of the shop,ဆိုင်ရှေ့မှာ ကား လေးစီး ရပ်ထားတယ်။
It is going to rain tomorrow so I will go to school by bus,မနက်ဖန် မိုးရွာမှာမို့ ကျောင်းကို ဘတ်စကားနဲ့ သွားမယ်။
It was raining so there wasnt a baseball game,မိုးရွာလို့ ဘေ့စ်ဘောပြိုင်ပွဲ မရှိဘူး။
That person has long skinny legs,ဟိုလူရဲ့ ခြေထောက်က သွယ်ပြီး ရှည်တယ်။
The sky is blue,ကောင်းကင်က ပြာတယ်။
A hundred people can fit in the room next to ours,ဘေးကစာသင်ခန်းက အယောက်တစ်ရာလောက် ဆံ့တယ်။
I will clean the entrance and the hallway,အဝင်နဲ့ စင်္ကြံကိုလည်း သန့်ရှင်းရေးလုပ်မယ်။
Mr Matsui and Mr Lee are friends,မစ္စတာမဆုအိနဲ့ မစ္စတာလီက သူငယ်ချင်းတွေပါ။
My stomach hurts so I will go to the hospital,ဗိုက်နာလို့ ဆေးရုံ သွားတယ်။
I will eat dinner at a restaurant today,ဒီနေ့ စားသောက်ဆိုင်မှာ ညစာစားမယ်။
A lot of flowers blossom in spring,နွေဦးဆို ပန်းတွေ အများကြီး ပွင့်တယ်။
You should work over there,နင် ဟိုဘက်မှာ အလုပ်လုပ်နေပါ။
Mr Hayashi works for a computer company,မစ္စတာဟယရှိက ကွန်ပျူတာကုမ္ပဏီမှာ အလုပ်လုပ်တယ်။
I did not eat breakfast today,ဒီနေ့ မနက်စာ မစားခဲ့ဘူး။
There is a round box over there,ဟိုမှာ ဘူးဝိုင်းလေး ရှိတယ်။
There are two cars in Mr Tanakas house,မစ္စတာတာနာခါရဲ့ အိမ်မှာ ကား နှစ်စီး ရှိတယ်။
Well I dont know Im not really sure,ဘယ်လို ပြောရမလဲ၊ သိပ် နားမလည်ဘူး။
No one came today,ဒီနေ့ ဘယ်သူမှ မလာဘူး။
When there is I word I dont know I use the dictionary,စကားရဲ့ အဓိပ္ပာယ် နားမလည်တဲ့အခါ အဘိဓာန်ကို သုံးတယ်။
It is five oclock now,အခု ငါးနာရီ ထိုးပြီ။
It is me who cooks dinner every day,ညစာကို နေ့တိုင်း ကိုယ်ပဲ ချက်တယ်။
When do you play tennis,ဘယ်တော့ တင်းနစ်ရိုက်မလဲ။
Oh is that so,ဪ၊ ဟုတ်လား။
My room is not that large,ကျွန်တော့်အခန်းက သိပ် မကျယ်ဘူး။
There are a lot of katakana words in Japanese,ဂျပန်စာမှာ ခတခနစကားတွေ အများကြီး ရှိတယ်။
B One two three four,B တစ်၊ နှစ်၊ သုံး၊ လေး ။
When I was eating dinner my friend came over to my home,ကျွန်တော် ညစာစားနေတုန်း သူငယ်ချင်း အိမ်ရောက်လာတယ်။
I will eat dinner at Mr Hayashis house this Saturday,စနေနေ့ကျရင် မစ္စတာဟယရှိရဲ့  အိမ်မှာ ညစာစားမယ်။
I gave my mother a birthday present,အမေ့ကို မွေးနေ့လက်ဆောင် ပေးတယ်။
My little sister is short and has long hair,ကျွန်တော့်ညီမက အရပ်ပုပြီး ဆံပင်ရှည်တယ်။
The post office is near the station,စာတိုက်က ဘူတာဘေးမှာ ရှိတယ်။
The socks section is on the first floor,ခြေအိတ်အရောင်းကောင်တာက တစ်ထပ်မှာ ရှိတယ်။
I do not drink a lot of alcohol,ကျွန်တော် အရက် သိပ် မသောက်ဘူး။
This sentence is short so it is easy to read,ဒီစာကြောင်းက တိုလို့ ဖတ်ရလွယ်တယ်။
Even though it is already  midnight I will study,ညဆယ့်နှစ်နာရီပေမဲ့ စာဖတ်မယ်။
My sister is crying in her room,အခန်းထဲမှာ ညီမလေး ငိုနေတယ်။
The day before yesterday I bought new shoes at the department store,တစ်နေ့က ကုန်တိုက်မှာ ဖိနပ်အသစ် ဝယ်ခဲ့တယ်။
I will go eat dinner after I finish work,အလုပ် ပြီးရင် ညစာ သွားစားမယ်။
I wanted to go to a university in Tokyo,တိုကျိုကတက္ကသိုလ်မှာ တက်ချင်တယ်။
This is my notebook,ဒါ ကျွန်တော့်မှတ်စုစာအုပ်ပါ။
This place is a very famous place in Japan,ဒီနေရာက ဂျပန်မှာ နာမည်အကြီးဆုံးနေရာ။
I borrowed a book from the library and read it,စာကြည့်တိုက်မှာ စာအုပ် ငှားပြီး ဖတ်တယ်။
University starts in April,လေးလပိုင်းကနေ တက္ကသိုလ် စတယ်။
That is todays newspaper,အဲဒါ ဒီနေ့သတင်းစာပါ။
Mr Tanaka bought five pieces of cake,မစ္စတာတာနာခါ ကိတ်မုန့် ငါးခု ဝယ်ခဲ့တယ်။
I bought a thin dictionary,အဘိဓာန် ပါးပါး တစ်အုပ် ဝယ်လိုက်တယ်။
That hairdresser is thin and pretty,ဟို မိတ်ကပ်ဆရာက သေးသွယ်ပြီး လှတယ်။
This is a very important letter,ဒါ အရေးကြီးတဲ့စာပါ။
I went to the concert with my friend yesterday,မနေ့က သူငယ်ချင်းနဲ့ ဂီတပွဲ သွားခဲ့တယ်။
My favourite colour is blue,ကျွန်တော် ကြိုက်တဲ့အရောင်က အပြာပါ။
Mr Lee wrote a letter in Japanese,မစ္စတာလီက ဂျပန်ဘာသာနဲ့ စာတစ်စောင် ရေးခဲ့တယ်။
We will have a party for Mr Yamadas birthday,မစ္စတာယာမာဒါရဲ့ မွေးနေ့ကျရင် ပါတီလုပ်မယ်။
I will not ride the lift but use the stairs,ဓာတ်လှေခါး မစီးဘဲ လှေခါးကို သုံးတယ်။
That supermarket is open at night too,အဲဒီကစူပါမားကက်က ညလည်း ဖွင့်တယ်။
Yes okay,အင်း၊ ကောင်းပါတယ်။
I remember Japanese by watching TV every day,နေ့တိုင်း တီဗွီ ကြည့်ပြီး ဂျပန်စာကို မှတ်တယ်။
I am looking for a black wallet like this,ဒီလောက်လောက် မည်းတဲ့ ပိုက်ဆံအိတ်ကို ရှာနေတယ်။
I always study by myself,အမြဲတမ်း တစ်ယောက်တည်း စာဖတ်နေတယ်။
When you do not know the way please call and ask,လမ်း မသိခဲ့ရင် ဖုန်းဆက်မေးပါ
In Japan you can start driving at  years old,ဂျပန်မှာ ဆယ့်ရှစ်နှစ်ကစပြီး ကားမောင်းလို့ရတယ်။
Mr Lee caught a cold so he is not healthy,မစ္စတာလီ အအေးမိနေလို့ နေမကောင်းဘူး။
Mr Kimura carried my baggage for me,မစ္စတာခိမုရက ကျွန်တော့်ရဲ့ အထုပ်ကို ကူသယ်ပေးတယ်။
A big typhoon came and the train stopped,မုန်တိုင်းကြီး ဝင်လို့ ရထားတွေ ရပ်ကုန်တယ်။
Please contact the company by telephone,ကုမ္ပဏီကို ဖုန်းနဲ့ ဆက်သွယ်လိုက်ပါ။
I study Japanese by listening to tapes,တိတ်ခွေ နားထောင်ပြီး ဂျပန်စာ လေ့လာတယ်။
There is a match on the table,စားပွဲပေါ်မှာ မီးခြစ် ရှိတယ်။
We eat sashimi with soy sauce,ဆာရှိမိကို ပဲငံပြာရည် ဆမ်းပြီး စားတယ်။
I went to a cafe with Mr Kimura during lunchtime yesterday,မနေ့နေ့လယ်က မစ္စတာခိမုရနဲ့ ကော်ဖီဆိုင် သွားတယ်။
The bank employees at the counter are mostly women,ကောင်တာမှာ ရှိတဲ့ ဘဏ်ဝန်ထမ်းတွေက မိန်းကလေးတွေ များတယ်။
Dont smoke in this room,ဒီအခန်းမှာ ဆေးလိပ် သောက်လို့မရဘူး။
I told my friend my new address,သူငယ်ချင်းကို လိပ်စာအသစ် ပေးလိုက်တယ်။
There are two people I do not know in front of the house,အိမ်ရှေ့မှာ မျက်နှာစိမ်း နှစ်ယောက် ရှိတယ်။
This book is boring,ဒီစာအုပ်က စိတ်ဝင်စားဖို့မကောင်းဘူး။
Yesterday I heard some interesting news from my friend,မနေ့က သူငယ်ချင်းဆီက စိတ်ဝင်စားဖို့ကောင်းတဲ့သတင်း တစ်ခု ကြားခဲ့တယ်။
There was no shampoo in the bath,ရေချိုးခန်းထဲမှာ ခေါင်းလျှော်ရည် မရှိဘူး။
Mr Lee is in the library right now,မစ္စတာလီက အခု စာကြည့်တိုက်မှာ ရှိတယ်။
I can speak English,ကျွန်တော် အင်္ဂလိပ်စကား ပြောတတ်တယ်။
There are a desk bed and TV in my room,ကျွန်တော့်ရဲ့ အခန်းမှာ စာရေးခုံတို့ အိပ်ရာတို့ တီဗွီတို့ ရှိတယ်။
I will go shopping at the supermarket,စူပါမားကက်ကို ဈေးဝယ် သွားတယ်။
I went to a coffee shop and had tea with my friend after school,ကျောင်းဆင်းတော့ သူငယ်ချင်းနဲ့ ကော်ဖီဆိုင်မှာ လက်ဖက်ရည် သောက်တယ်။
I am busy this month so I am not free on any day,ဒီလ အလုပ်များလို့ အားရက် မရှိဘူး။
I will go out with my friend tomorrow night,မနက်ဖန်ည သူငယ်ချင်းနဲ့ တွေ့ရမှာမို့ အပြင်ထွက်မယ်။
I will put in three spoonfuls of sugar,သကြားကို ဇွန်းနဲ့ သုံးခွက် ထည့်တယ်။
There are a lot of stores over there that are lined up,အဲဒီမှာ ဆိုင်တွေ အများကြီး တန်းစီနေတာပဲ။
No thats not correct,ဟင့်အင်း၊ မဟုတ်ဘူး။
Last year I went on a trip abroad with my friend,မနှစ်က သူငယ်ချင်းနဲ့ နိုင်ငံခြား အလည်ခရီး ထွက်ခဲ့တယ်။
I will transfer money at the counter,ဘဏ်ကောင်တာကနေ ငွေလွှဲမယ်။
I will put two vases on the table,စားပွဲပေါ်မှာ ပန်းအိုး နှစ်လုံး စီထားမယ်။
My wife comes home soon,အမျိုးသမီးက ချက်ချင်း ပြန်လာတယ်။
That dog has big ears,ဟိုခွေးက နားရွက် ကြီးတယ်။
Cars are expensive but convenient,ကားက ဈေးကြီးပေမဲ့ အဆင်ပြေတယ်။
I want shoes that are light,ကျွန်တော် ပေါ့တဲ့ ဖိနပ် လိုချင်တယ်။
I met Mr Hayashi for the first time,ကျွန်တော် ပထမဆုံးအကြိမ် မစ္စတာဟယရှိနဲ့ တွေ့ခဲ့တယ်။
That shop has tasty snacks,ဟိုဆိုင်မှာ စားလို့ကောင်းတဲ့မုန့်တွေ ရောင်းတယ်။
Class always starts after,အမြဲတမ်း ကိုးနာရီကျော်မှာ အတန်းစတယ်။
Well then that is all for todays class Lets meet next week,ဒီနေ့သင်ခန်းစာက ဒီလောက်ပါပဲ။ နောက်အပတ်မှ ထပ်တွေ့မယ်။
There are a dog and a cat in Mr Hayashis house,မစ္စတာဟယရှိရဲ့ အိမ်မှာ ခွေးနဲ့ ကြောင် ရှိတယ်။
Curry is Indian food,ကာရီက အိန္ဒိယအစားအစာပါ။
I can write kanji,ကျွန်တော် ခန်းဂျီး ရေးတတ်တယ်။
I drink one glass of milk every morning,မနက်တိုင်း နွားနို့ တစ်ခွက် သောက်တယ်။
Two bottles of CocaCola please,ကိုကာကိုလာ နှစ်ခွက် ပေးပါ။
I practise tennis every day,ကျွန်တော် နေ့တိုင်း တင်းနစ် လေ့ကျင့်တယ်။
There is going to be a tennis match tomorrow,မနက်ဖန် တင်းနစ်ပြိုင်ပွဲ ရှိတယ်။
What kind of work do you do,မင်း ဘာအလုပ် လုပ်သလဲ။
I have a test tomorrow so I will study tonight,မနက်ဖန် စာမေးပွဲ ရှိလို့ ဒီည စာဖတ်မယ်။
The book is in the bag,စာအုပ်က လွယ်အိတ်ထဲမှာပါ။
The water in this river is clean,ဒီချောင်းကရေက သန့်တယ်။
This road has twists and turns,ဒီလမ်းက ကွေ့ကောက်နေတယ်။
Every month I write a letter to my friend overseas,လတိုင်း နိုင်ငံခြားကသူငယ်ချင်းဆီကို စာရေးတယ်။
I will learn the guitar starting this year,ကျွန်တော် ဒီနှစ်ကစပြီး ဂီတာတီး သင်မယ်။
There are a lot of pretty flowers in bloom in the park,ပန်းခြံမှာ ပန်းလှလှလေးတွေ အများကြီး ပွင့်နေတယ်။
I take off my shoes and put on slippers,ရှူးဖိနပ်ကို ချွတ်ပြီး ဖိနပ်ပါးကို စီးတယ်။
There is a small chair in my room,ကျွန်တော့်အခန်းမှာ ထိုင်ခုံ သေးသေးလေး ရှိတယ်။
There are seven eggs in the refrigerator,ရေခဲသေတ္တာထဲမှာ ကြက်ဥ ခုနစ်လုံး ရှိတယ်။
There is a new computer in the classroom,စာသင်ခန်းမှာ ကွန်ပျူတာအသစ် ရှိတယ်။
Well then thank you in advance,ဒါဖြင့်၊ ကူညီဆောင်ရွက်ပေးပါ။
There is a TV next to the piano,တီဗွီက စန္ဒရားဘေးမှာ ရှိတယ်။
The sea around here is dirty,ဒီအနီးတဝိုက်ကပင်လယ်က ညစ်ပတ်တယ်။
Watching TV is not good for your eyes,တီဗွီက မျက်စိအတွက် မကောင်းဘူး။
That building was built in,ဟိုဘက်ကအဆောက်အအုံက ခုနစ်ရာကိုးဆယ့်လေးနှစ်က ဆောက်ထားတာ။
The food my mother cooks is very good,အမေ ချက်တဲ့ဟင်းက အရမ်း စားလို့ကောင်းတယ်။
I studied English in America for three months,အမေရိကမှာ အင်္ဂလိပ်စာကို သုံးလ လေ့လာခဲ့တယ်။
I eat rice in a bowl,ပန်းကန်လုံးနဲ့ ထမင်းစားတယ်။
This magazine is interesting,ဒီမဂ္ဂဇင်းက ဖတ်လို့ကောင်းတယ်။
I will go to the police box because I lost my wallet,ပိုက်ဆံအိတ် ပျောက်သွားလို့ ရဲစခန်းကို သွားမယ်။
I do not have any money,ပိုက်ဆံ မရှိဘူး။
It takes  minutes by bus from the station to the hospital,ဘူတာကနေ ဆေးရုံကို ဘတ်စကားနဲ့ ဆယ်မိနစ် ကြာတယ်။
I put sugar in my coffee using a spoon,ဇွန်းနဲ့ ကော်ဖီထဲကို သကြား ထည့်တယ်။
The beauty salon is next to the station,အလှပြင်ဆိုင်က ဘူတာရဲ့ ဘေးမှာ ရှိတယ်။
I will eat and smoke a cigarette,ထမင်းစားပြီး ဆေးလိပ် တစ်လိပ် သောက်တယ်။
I always ride the train at eight oclock in the morning,အမြဲတမ်း မနက်ရှစ်နာရီရထားကို စီးတယ်။
The room is dark so I will turn on the light,အခန်းက မှောင်လို့ မီးကို ထွန်းတယ်။
I would like to listen to Japanese music,ဂျပန်တေးဂီတကို နားထောင်ချင်တယ်။
How many pieces of bread did you buy,ပေါင်မုန့် ဘယ်နှခု ဝယ်လိုက်လဲ။
Big bags are convenient,အိတ် အကြီးကြီး သုံးရတာ အဆင်ပြေတယ်။
That company makes cars,အဲဒီကုမ္ပဏီက ကားထုတ်လုပ်နေတယ်။
There is an ashtray on the table,စားပွဲပေါ်မှာ ဆေးလိပ်ပြာခွက် ရှိတယ်။
I could not find the keys so I looked inside my bag,သော့ မတွေ့လို့ အိတ်ထဲကို ရှာတယ်။
I eat cake for my birthday every year,နှစ်တိုင်း မွေးနေ့မှာ ကိတ်မုန့် စားလေ့ရှိတယ်။
I play tennis on Sundays,တနင်္ဂနွေနေ့မှာ တင်းနစ်ရိုက်တယ်။
This computer is expensive but it is very good,ဒီကွန်ပျူတာက ဈေးကြီးပေမဲ့ အရမ်း ကောင်းတယ်။
Mr Yamada is in the classroom,မစ္စတာယာမာဒါက စာသင်ခန်းထဲမှာ ရှိတယ်။
I left my umbrella on the train,ရထားပေါ်မှာ ထီး မေ့ကျန်ခဲ့တယ်။
This mountain is low,ဒီတောင်က နိမ့်တယ်။
Who is Mr Hayashi,ဘယ်သူက မစ္စတာဟယရှိလဲ။
I will study somewhere bright,လင်းလင်းထိန်ထိန် ရှိတဲ့ နေရာမှာ စာဖတ်တယ်။
My aunt works at a flower shop,ကျွန်တော့်အဒေါ်က ပန်းဆိုင်မှာ အလုပ်လုပ်နေတယ်။
I have been studying since last year,မနှစ်ကတည်းက လေ့လာနေတယ်။
Mr Tanakas bag is there,မစ္စတာတာနာခါရဲ့ အိတ်က အဲဒီမှာ ရှိတယ်။
I always read a book for only thirty minutes before I go to sleep,အမြဲတမ်း မအိပ်ခင်မှာ မိနစ်သုံးဆယ်လောက်သာ စာအုပ် ဖတ်တယ်။
I will work as soon as I graduate university,တက္ကသိုလ်ပြီးရင် ချက်ချင်း အလုပ်လုပ်မယ်။
Mr Matsui is good at handwriting letters,မစ္စတာမဆုအိက လက်ရေး ကောင်းတယ်။
I will teach Ms Kimura English,မစ္စတာခိမုရကို အင်္ဂလိပ်စာ သင်တယ်။
Mr Tanaka can play tennis,မစ္စတာတာနာခါက တင်းနစ်ရိုက်တတ်တယ်။
Flowers will blossom in the garden,ခြံထဲမှာ ပန်းတွေ ပွင့်တယ်။
I need a dictionary because we will be writing an essay in class tomorrow,မနက်ဖန် အတန်းမှာ စာစီစာကုံး ရေးရမှာမို့လို့ အဘိဓာန် လိုတယ်။
This dish does not look good,ဒီဟင်းက စားကောင်းမယ့်ပုံမပေါ်ဘူး။
I forgot that persons name,အဲဒီလူရဲ့ နာမည်ကို မေ့သွားတယ်။
I will buy a postcard at the post office,စာတိုက်မှာ ပို့စကတ် တစ်ခု ဝယ်မယ်။
It is a little hot so I will open the window,နည်းနည်း အိုက်လို့ ပြတင်းပေါက် ဖွင့်မယ်။
Mr Hayashi will go abroad for work for one month from next week,မစ္စတာဟယရှိ နောက်လကနေစပြီး တစ်လကြာ အလုပ်ကိစ္စနဲ့ နိုင်ငံခြားကို သွားမယ်။
When summer ends autumn comes,နွေကုန်ရင် ဆောင်းဦး လာမယ်။
This room has no window,ဒီအခန်းက ပြတင်းပေါက် မရှိဘူး။
I put in sugar and drink coffee,ကျွန်တော် ကော်ဖီကို သကြား ထည့်သောက်တယ်။
I would like to drink some hot tea,ရေနွေးကြမ်း ပူပူလေး သောက်ချင်တယ်။
I helped my little sister with her homework,ကျွန်တော် ညီမလေးရဲ့ အိမ်စာကို ကြည့်ပေးတယ်။
There is a good store in front of the station,ဘူတာရှေ့မှာ ဆိုင်ကြီးဆိုင်ကောင်းတွေ ရှိတယ်။
There are many people swimming at the beach,ပင်လယ်မှာ လူတွေ အများကြီး ရေကူးနေတယ်။
I will remember the number written on this paper,စာရွက်မှာ ရေးထားတဲ့ နံပါတ်ကို မှတ်တယ်။
Mr Kobayashis little brother plays football,မစ္စတာဟယရှိရဲ့ ညီလေးက ဘောလုံး ကစားနေတယ်။
The sky in the east is cloudy,အရှေ့ဘက်ကောင်းကင်မှာ တိမ်ထူနေတယ်။
It takes one hour to get from my house to school by train,အိမ်ကနေ ကျောင်းအထိ ရထားနဲ့ တစ်နာရီ ကြာတယ်။
I will check my belongings before I leave the house,အိမ်က မထွက်ခင် အထုပ်ကို စစ်တယ်။
It is two kilometres from the station to the library,ဘူတာကနေ စာကြည့်တိုက်အထိ နှစ်ကီလိုမီတာ ရှိတယ်။
Even if it rains I go by bicycle,မိုးရွာလည်း စက်ဘီးနဲ့ သွားတယ်။
I heard something I didnt like yesterday,မနေ့က မကြားချင်တဲ့စကားကို ကြားရတယ်။
I travelled during summer vacation,ကျွန်တော် နွေရာသီပိတ်ရက်မှာ ခရီးထွက်တယ်။
I will put a film in the camera,ကင်မရာထဲကို ဖလင် ထည့်တယ်။
That cup is yours,အဲဒီခွက်က မင်းဟာပါ။
I will go home because it is already late,ည အရမ်း မိုးချုပ်ပြီမို့ အိမ်ပြန်မယ်။
The weather is nice this morning,ဒီမနက်က ရာသီဥတုသာယာတယ်။
Excuse me a second,တစ်ဆိတ်လောက်၊ တောင်းဆိုပါရစေ။
Where is your country,ဘယ်နိုင်ငံကပါလဲ။
I want to take the day off tomorrow However I need to go to school,မနက်ဖန် တစ်နေ့လုံး နားချင်တယ်။ ဒါပေမဲ့ ကျောင်းမသွားလို့မရဘူး။
Ms Kimura showed me the picture,မစ္စတာခိမုရက ကျွန်တော့်ကို ဓာတ်ပုံ ပြတယ်။
Can you call abroad with that phone,ဟိုတယ်လီဖုန်းနဲ့ နိုင်ငံခြားကို ဖုန်းခေါ်လို့ရသလား။
I drink coffee every morning,ကျွန်တော် မနက်တိုင်း ကော်ဖီ သောက်တယ်။
Our summer vacation is from  August to  September,ရှစ်လပိုင်း တစ်ရက်နေ့ကနေ ကိုးလပိုင်း သုံးဆယ်ရက်နေ့အထိက နွေရာသီပိတ်ရက်ပါ။
I will be absent from school,ကျောင်းမသွားဘူး။
There is a tree in the park with a thick trunk,ပန်းခြံမှာ သစ်ပင် တုတ်တုတ်ကြီးတွေ ရှိတယ်။
I weigh  kilograms,ကျွန်တော် အခု ကိုယ်အလေးချိန် လေးဆယ့်ငါးကီလိုဂရမ် ရှိတယ်။
There is a bag under the desk,စာရေးခုံအောက်မှာ လွယ်အိတ် ရှိတယ်။
I sometimes go to the bookstore over there,ကျွန်တော် တစ်ခါတလေ အဲဒီကစာအုပ်ဆိုင်ကို သွားတယ်။
There are paper and a pencil on the desk,စာရေးခုံပေါ်မှာ စာရွက်နဲ့ ခဲတံ ရှိတယ်။
Because I always use this pencil it has become short,အမြဲတမ်း ဒီခဲတံချည်းပဲ သုံးနေလို့ တိုတောင်တိုသွားပြီ။
Yesterdays class was long,မနေ့ကအတန်းက အချိန်ရှည်တယ်။
Mr Hayashis boxed lunch looks yummy,မစ္စတာဟယရှိရဲ့ ထမင်းဘူးက စားချင်စရာကောင်းလိုက်တာ။
My father is a bank employee,ကျွန်တော့်အဖေက ဘဏ်ဝန်ထမ်းပါ။
When I was a child I often played at that park,ကျွန်တော် ကလေးဘတုန်းက အဲဒီပန်းခြံမှာ အမြဲ ကစားတယ်။
Please stand up,မတ်တပ်ထပါ။
Japanese people use chopsticks to eat,ဂျပန်လူမျိုးတွေက တူနဲ့ ထမင်းစားတယ်။
If you are going to the embassy you need to get off at the next station,သံရုံး သွားမှာဆိုရင် နောက်ဘူတာမှာ ဆင်းရမယ်။
Lets cross the street and walk on the left,လမ်းကူးပြီး ဘယ်ဘက်ခြမ်းကနေ လျှောက်ရအောင်။
Everyone your classroom will be on the third floor,မင်းတို့ရဲ့ စာသင်ခန်းက သုံးထပ်မှာ။
Here you are,ကောင်းပါပြီ၊ လုပ်ပါ။
I had dinner with my friend today,ဒီနေ့ သူငယ်ချင်းနဲ့ ညစာ စားလာတယ်။
My parents will come to my house on the ninth of next month,နောက်လ ကိုးရက်နေ့မှာ မိဘတွေ ကျွန်တော့်အိမ်ကို လာလည်မယ်။
My eyes became tired because I was reading a book in a dark room,အမှောင်ခန်းထဲမှာ စာအုပ် ဖတ်လိုက်တာ မျက်စိ ညောင်းသွားတယ်။
Ms Kimura is wearing a cute skirt,မစ္စခိမုရက ချစ်စရာကောင်းတဲ့စကတ်လေးကို ဝတ်ထားတယ်။
We show our passports at the airport,လေဆိပ်မှာ ပတ်စပို့ကို ပြတယ်။
I received a yellow handkerchief for my birthday,မွေးနေ့မှာ အဝါရောင်လက်ကိုင်ပဝါလေး လက်ဆောင်ရတယ်။
This is a very light and convenient dictionary,ဒါလေးက အရမ်း ပေါ့ပြီး အဆင်ပြေတဲ့အဘိဓာန်ပဲ။
Mobile phones are small and very useful,လက်ကိုင်ဖုန်းက သေးပြီး အရမ်း အဆင်ပြေတယ်။
I worked for a long time so I took a little rest,နာရီ အတော်ကြာကြာ အလုပ်လုပ်ခဲ့ရလို့ နည်းနည်း အနားယူလိုက်တယ်။
It is already  so I must get out of the house,ခုနစ်နာရီတောင် ခွဲပြီ၊ အိမ်က မထွက်လို့မဖြစ်တော့ဘူး။
Your clothes are beautiful,အင်္ကျီလေးက လှတယ်နော်။
Mr Tanaka always seems busy,မစ္စတာတာနာခါက အမြဲတမ်း အလုပ်များတဲ့ပုံပဲ။
My head hurts tonight so I will go to sleep early,ခေါင်းကိုက်လို့ ဒီနေ့ စောစော အိပ်မယ်။
The weather will be rainy tomorrow,မနက်ဖန်ရဲ့ ရာသီဥတုအခြေအနေကတော့ မိုးရွာပါမယ်။
Is it cold outside,အပြင်မှာ အေးလား။
I will tell the teacher about that,အဲဒီအကြောင်းကို ကျွန်တော် ဆရာ့ကို ပြောမယ်။
There are vegetables and eggs in the refrigerator,ရေခဲသေတ္တာထဲမှာ ဟင်းသီးဟင်းရွက်နဲ့ ကြက်ဥ ရှိတယ်။
There are ten in all,စုစုပေါင်း တစ်ဆယ် ရှိတယ်။
There are six boxes in the room,အခန်းထဲမှာ သေတ္တာ ခြောက်လုံး ရှိတယ်။
I have some time this morning so I will read the newspaper before heading out,ဒီမနက်က အချိန်ရလို့ သတင်းစာ ဖတ်ပြီးမှ အိမ်က ထွက်မယ်။
It was hot so we swam in the pool,ပူလို့ ရေကူးကန်မှာ ရေကူးတယ်။
I will study because I have a test next week,နောက်အပတ် စာမေးပွဲရှိလို့ စာဖတ်မယ်။
Yes okay,ဟုတ်ကဲ့၊ ရပါတယ်။
I will order this dish,ကျွန်တော် ဒီဟင်း မှာမယ်။
I am busy every day However every day is very fun,နေ့တိုင်း အလုပ်များတယ်။ ဒါပေမဲ့ အရမ်း ပျော်တယ်။
I work on Sundays too,ကျွန်တော် တနင်္ဂနွေနေ့လည်း အလုပ်လုပ်တယ်။
One egg is about  grams,ကြက်ဥက တစ်လုံးကို ငါးဆယ်ဂရမ်လောက် ရှိတယ်။
Please help me if Im doing something wrong,ကျေးဇူးပြုပြီး ဆောင်ရွက်ပေးပါရန် တောင်းဆိုအပ်ပါတယ်။
